SED_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SED30012,669,940,1607,96,77,181,0,0,4,0,3,3,23,14,41,13276,10287,23567,968,1162,2128,278,7,280,329,25,357,73,8,76,114,70,186,147,178,326,15975,12778,28755,92,116,207,0,0,3,0,0,0,273,257,528,57,58,117,36,15,48,455,450,901,0,0,0,0,0,0,13,17,22,9,19,25,3,5,5,24,38,60,166,79,249,647,564,1212,71,102,175,0,0,0,6,5,15,80,108,190,311,677,991,1232,1867,3096,193,150,345,18445,16146,34584
SED30013,3,3,4,162,76,234,6,0,6,0,0,0,11,10,25,7993,6840,14837,776,663,1442,339,16,350,165,17,182,170,44,214,165,55,220,718,370,1091,10503,8090,18600,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,14,7,20,5,3,6,0,0,3,19,12,34,93,39,127,113,48,162,0,0,0,4,0,4,3,0,3,6,0,6,436,594,1027,867,1113,1981,140,118,256,12067,9968,22036
SED30014,115,71,184,196,230,428,8,0,5,13,16,26,12,9,26,8929,8653,17580,442,568,1012,146,3,152,178,25,208,250,102,354,95,52,151,249,257,502,10628,9989,20623,24,21,42,0,0,0,0,0,0,38,33,72,9,4,11,11,0,11,80,59,136,0,0,0,27,52,81,7,6,16,11,20,26,3,3,10,45,85,126,86,69,156,213,210,420,23,14,35,9,11,20,3,3,11,33,23,57,603,853,1454,901,1338,2244,108,93,199,12490,12507,24998
SED30015,5,3,10,134,28,159,3,0,3,0,0,0,7,3,10,6525,6005,12529,439,588,1024,242,3,242,128,12,146,60,22,88,107,36,142,345,295,637,7989,6990,14982,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,6,6,9,4,0,4,0,0,0,7,3,14,0,0,3,0,0,0,17,4,21,76,19,98,97,29,124,0,0,0,9,0,9,0,3,4,10,4,11,561,677,1243,763,1030,1795,122,104,220,9542,8838,18376
SED30016,5,10,17,213,298,509,25,11,35,3,3,7,76,88,171,8631,8135,16765,682,1185,1864,121,5,125,223,59,279,551,277,833,281,96,377,746,713,1461,11561,10877,22433,0,0,0,0,0,0,0,0,0,8,8,12,0,3,3,0,0,0,8,6,12,0,0,0,0,0,0,8,0,13,15,29,43,17,18,33,42,47,86,136,82,217,187,134,315,0,0,0,11,16,27,7,9,20,22,24,44,360,523,885,1018,1376,2398,139,117,257,13282,13049,26332
SED30017,0,0,3,212,59,269,3,0,0,0,0,3,3,3,8,5753,4854,10604,540,487,1023,273,12,289,111,23,137,68,36,102,158,78,238,698,602,1303,7826,6160,13993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,7,32,0,7,8,3,0,3,27,14,42,90,25,114,121,35,157,0,0,0,4,0,4,12,3,14,15,3,20,1322,1153,2480,845,977,1824,215,158,365,10349,8491,18835
SED30018,64,46,113,146,103,245,4,0,4,0,0,0,13,7,15,7478,6790,14271,549,579,1129,247,9,250,116,10,120,114,50,164,128,60,183,245,326,573,9093,7974,17069,8,11,19,0,0,0,0,0,0,55,39,90,3,3,10,3,5,8,65,55,123,0,0,0,0,0,0,9,6,7,7,15,18,9,4,9,20,23,39,102,34,136,188,113,295,9,14,20,10,4,12,9,0,8,21,18,39,541,822,1359,923,1387,2305,135,119,255,10901,10429,21329
SED30019,222,239,455,239,332,573,3,6,7,3,3,3,19,20,33,9004,7712,16719,484,626,1110,273,4,274,223,17,232,73,14,88,86,28,118,131,156,284,10770,9147,19918,26,19,47,0,0,0,0,0,0,69,104,168,18,6,24,6,7,13,119,135,257,0,0,0,0,0,0,39,84,124,8,33,43,9,0,9,57,122,180,116,64,175,293,320,616,33,20,53,11,12,19,4,0,3,44,30,80,346,585,939,927,1469,2397,73,55,137,12453,11616,24073
SED30020,182,185,366,945,1256,2202,11,13,25,0,0,3,22,10,37,9013,7714,16731,496,762,1256,186,5,196,217,22,233,150,17,167,91,37,128,175,175,354,11499,10206,21707,31,32,63,0,0,0,0,0,0,98,113,211,5,12,23,3,3,8,138,162,302,0,3,7,0,0,0,75,115,182,37,63,98,15,7,20,123,189,315,135,85,226,400,434,834,31,22,50,19,15,25,3,3,5,47,40,83,580,871,1450,917,1587,2511,102,83,180,13549,13220,26771
SED30021,1248,1369,2614,705,1035,1737,26,45,67,3,8,13,51,37,93,8698,7060,15755,487,836,1325,87,3,91,283,27,305,331,84,415,147,83,230,427,431,863,12487,11013,23503,153,169,321,0,3,3,0,0,0,124,122,244,28,52,78,29,7,36,336,354,692,16,6,22,0,0,0,29,53,89,10,27,40,15,12,20,70,100,172,95,61,158,500,515,1016,39,49,84,14,4,20,12,0,12,64,48,116,646,882,1522,1022,1582,2605,90,84,175,14815,14128,28940
SED30022,426,457,882,152,157,311,5,6,18,0,0,3,14,10,27,8501,7555,16050,467,590,1058,202,4,202,169,7,176,80,31,108,138,49,185,211,239,447,10365,9108,19478,36,34,68,3,3,3,0,0,0,87,98,178,6,37,44,21,3,22,151,170,320,0,4,4,0,0,0,26,27,52,10,18,29,3,0,3,38,49,85,153,80,235,336,298,639,35,20,58,6,7,15,16,11,23,59,38,92,547,801,1350,935,1423,2354,81,81,159,12320,11752,24076
SED30023,4,0,8,100,32,131,6,5,9,0,0,0,6,10,20,9952,8323,18274,717,719,1439,443,11,451,159,15,170,99,28,129,164,53,215,505,362,866,12163,9549,21713,3,0,3,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,4,5,4,3,3,3,0,3,11,4,19,111,58,166,125,64,190,4,0,3,3,0,3,9,0,10,12,3,15,924,1028,1951,1032,1581,2609,147,131,278,14408,12350,26761
SED30024,0,0,0,157,108,264,24,15,36,0,0,0,23,21,41,5733,4967,10700,664,768,1428,189,11,200,106,24,131,225,148,371,274,111,384,1317,1469,2788,8721,7629,16351,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,4,0,7,0,0,0,7,3,6,3,5,8,5,5,9,15,15,30,101,77,179,115,92,216,3,0,3,6,4,10,11,0,15,20,7,27,551,616,1170,756,903,1659,205,151,355,10371,9406,19778
SED30025,256,267,523,124,98,223,8,3,10,3,0,8,12,13,26,12370,10491,22859,849,908,1761,334,5,338,220,23,244,65,19,79,178,87,270,220,197,415,14643,12107,26753,43,51,91,0,0,0,0,0,0,99,84,183,24,13,43,12,4,14,177,151,334,0,0,3,0,3,5,9,10,22,6,14,18,6,0,4,29,30,60,147,70,212,354,250,607,39,59,104,9,4,18,4,0,7,57,71,123,752,1143,1889,1153,1668,2819,128,129,259,17088,15365,32455
SED30026,50,35,93,131,134,266,8,3,11,3,0,3,10,12,24,8087,7543,15625,429,455,890,171,3,173,120,15,137,166,80,248,109,43,155,244,337,581,9534,8665,18194,8,3,10,0,0,0,0,0,0,40,19,56,3,3,6,3,3,8,52,31,81,0,0,0,5,15,19,4,7,15,7,19,17,0,4,4,22,41,61,90,46,140,165,113,275,20,6,31,0,0,3,3,0,4,25,13,37,583,885,1474,879,1334,2218,119,119,234,11308,11127,22435
SED30027,3,3,6,224,56,279,4,0,4,3,0,3,7,6,13,6172,5764,11939,614,546,1160,216,16,234,97,25,118,65,29,93,142,70,213,623,490,1111,8177,6998,15174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,29,4,40,5,3,10,3,0,3,45,6,50,84,33,114,126,39,163,0,0,0,3,3,6,7,0,8,14,3,16,809,868,1677,1099,1145,2243,126,115,247,10343,9174,19520
SED30028,514,635,1150,320,369,686,3,0,3,0,3,7,18,11,32,8144,7175,15315,407,598,1005,158,0,158,267,27,298,195,40,236,97,26,122,171,198,369,10293,9087,19379,72,69,139,0,0,0,0,0,0,222,253,483,32,39,64,15,6,21,343,370,705,0,0,0,0,0,0,26,53,82,13,31,42,3,0,3,44,86,126,89,48,141,471,500,974,33,40,77,6,3,12,8,0,9,51,45,95,452,656,1109,908,1568,2482,76,55,134,12249,11917,24170
SED30029,893,862,1754,75,64,139,0,0,0,0,0,0,18,9,25,7137,6350,13485,368,597,961,160,3,164,285,28,308,128,30,153,77,29,109,147,121,271,9284,8079,17369,70,68,141,0,0,0,0,0,0,346,317,665,58,80,135,28,5,39,503,472,973,0,0,0,0,0,0,15,24,45,5,11,16,0,3,3,20,43,63,112,45,157,637,559,1195,43,54,100,7,3,4,8,4,8,53,64,120,633,800,1427,992,1542,2532,74,68,143,11675,11115,22789
SED30030,127,117,243,127,112,231,8,0,7,3,6,9,14,12,23,10869,9758,20623,693,770,1462,295,6,305,190,20,206,68,9,74,127,60,184,150,139,291,12667,11011,23674,34,31,63,0,0,0,0,0,0,61,44,104,20,5,24,14,0,15,120,80,199,0,0,4,4,18,23,5,4,12,4,24,32,3,3,6,23,44,71,124,53,170,267,175,441,27,26,52,4,3,12,5,3,9,35,35,70,486,876,1355,956,1470,2423,110,105,217,14515,13667,28187
SED30031,5,0,3,520,42,560,120,18,132,4,0,3,36,16,54,8944,7586,16535,639,635,1270,118,4,124,372,17,391,122,24,149,96,50,151,280,321,601,11251,8720,19971,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,4,3,4,120,23,139,0,0,0,12,3,18,5,3,6,3,0,5,146,23,170,443,98,538,585,129,715,0,0,3,546,98,637,12,3,18,558,105,656,206,529,737,1359,1266,2625,120,88,210,14080,10838,24923
SED30032,187,183,366,104,31,135,7,3,6,3,0,4,5,7,14,7908,7194,15100,528,605,1141,490,18,508,152,15,167,44,10,54,120,39,161,347,286,627,9888,8387,18276,15,19,41,0,0,0,0,0,0,67,74,137,13,14,26,18,0,16,118,107,223,0,0,0,0,0,0,3,6,6,0,8,9,6,0,6,9,10,20,113,45,157,237,167,400,33,33,69,9,0,8,7,3,10,45,36,81,859,1179,2038,1107,1507,2617,159,120,278,12291,11399,23690
SED30033,180,181,358,1540,1885,3425,6,5,12,0,0,3,36,18,54,7698,6595,14292,405,731,1134,77,0,75,224,19,249,431,76,506,97,40,138,221,257,482,10911,9824,20734,60,66,125,0,0,0,0,0,0,32,27,58,5,5,16,3,0,7,102,105,204,0,4,5,0,0,0,72,119,189,40,60,100,22,15,32,135,191,326,120,57,184,354,352,714,20,12,35,12,13,27,7,0,10,42,25,74,525,658,1183,859,1632,2490,77,64,135,12775,12557,25323
SED30034,0,0,4,506,80,581,3,0,4,0,0,0,6,13,20,6283,5109,11389,584,517,1102,193,11,203,91,17,111,111,56,167,171,90,257,824,778,1605,8776,6668,15447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,11,85,8,3,9,6,0,6,88,13,98,77,37,119,168,51,219,0,0,0,3,0,4,10,6,19,22,10,23,920,1006,1921,1054,1014,2069,169,123,292,11102,8867,19971
SED30035,3,3,7,100,45,148,3,0,4,0,0,0,11,8,17,6125,5676,11801,480,477,964,314,3,318,115,5,126,39,13,57,105,37,143,292,280,567,7591,6561,14148,3,0,5,0,0,0,0,0,0,5,3,8,0,0,0,0,0,0,10,3,16,3,0,3,0,0,0,5,0,10,3,5,5,3,0,3,15,3,23,69,25,96,97,32,127,0,0,0,6,4,8,5,0,4,11,3,16,590,789,1384,845,1142,1987,127,131,259,9267,8661,17920
SED30036,6,3,5,87,39,121,13,6,15,0,0,0,8,14,25,5714,5892,11608,396,608,1003,156,3,159,133,23,157,120,68,196,98,31,129,239,252,491,6971,6939,13912,0,0,3,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,3,0,4,0,4,5,0,0,0,4,0,7,3,4,6,0,0,3,14,13,22,82,62,150,102,75,175,3,0,4,3,0,8,3,0,4,12,7,16,319,478,800,794,1077,1872,101,94,195,8299,8669,16967
SED30037,3,0,3,316,154,477,7,0,7,0,0,0,12,6,18,8693,7735,16426,696,667,1362,290,10,300,199,21,215,102,36,134,234,63,295,474,303,781,11019,8997,20019,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,18,6,28,3,15,14,0,0,0,24,25,51,105,52,151,131,74,208,0,0,0,10,3,7,3,4,11,12,5,19,525,685,1209,963,1297,2266,162,122,284,12821,11182,23999
SED30038,379,512,887,186,272,453,0,0,0,0,0,0,17,14,29,8421,6230,14657,591,935,1533,197,5,205,194,16,206,89,17,101,69,30,102,119,141,265,10264,8181,18442,93,96,191,0,3,3,0,0,0,137,160,296,21,43,63,14,3,21,265,307,573,0,0,0,0,0,0,19,19,38,9,26,35,3,4,7,29,51,84,95,50,149,389,415,803,34,51,81,8,5,8,3,0,6,43,53,103,234,434,665,719,1171,1885,148,106,253,11795,10350,22143
SED30039,1159,1010,2174,668,765,1426,58,64,123,6,0,4,34,19,54,6023,5045,11076,331,581,907,40,0,44,182,29,209,645,152,800,96,52,151,620,619,1243,9862,8342,18203,157,168,329,3,3,3,0,0,0,76,80,150,37,39,74,34,14,48,307,301,613,21,11,37,0,0,0,25,42,71,14,23,40,18,11,28,80,95,172,93,54,145,480,448,929,58,52,105,17,4,21,11,8,15,80,62,139,673,740,1416,939,1687,2628,60,75,131,12098,11349,23446
SED30040,382,352,734,67,71,136,0,0,0,0,0,0,17,15,30,8251,6950,15202,624,613,1239,204,8,210,202,17,215,85,11,96,65,35,101,212,244,460,10115,8319,18435,35,60,102,0,0,0,0,0,0,123,142,268,25,41,65,13,0,15,196,248,443,4,0,4,0,0,0,3,10,14,4,5,9,3,0,0,12,20,28,102,47,156,311,311,630,25,29,59,3,0,3,8,0,14,38,32,72,204,357,560,882,1444,2321,101,67,169,11648,10532,22182
SED30041,143,198,343,77,47,120,0,0,3,0,0,0,8,4,16,8712,7491,16204,508,593,1099,347,9,356,193,18,204,55,10,70,85,35,123,186,191,375,10314,8606,18919,22,35,63,0,0,0,0,0,0,144,157,303,14,30,47,6,5,11,189,227,412,0,0,3,0,0,0,0,10,17,6,6,11,0,3,3,7,25,30,114,40,150,307,288,599,33,29,64,4,0,4,4,0,4,40,32,68,329,551,881,960,1378,2339,122,104,228,12071,10956,23025
SED30042,545,690,1237,120,95,212,3,0,3,3,0,3,10,14,22,8999,7689,16687,545,655,1198,294,3,301,253,20,279,57,14,70,105,36,139,133,120,259,11063,9342,20409,123,85,213,0,0,0,0,0,0,177,210,390,37,62,101,36,3,39,373,365,745,0,3,3,0,0,0,16,21,37,3,3,7,3,0,3,21,27,46,117,42,164,513,442,951,41,53,97,3,7,10,5,0,5,55,58,110,338,557,896,1005,1520,2527,92,76,166,13076,11989,25061
SED30043,33,27,57,168,136,306,3,0,3,0,4,5,11,7,17,8388,7871,16254,503,548,1050,197,8,204,135,5,142,184,65,252,149,47,197,208,197,403,9976,8908,18886,10,8,14,0,0,0,0,0,0,43,23,67,0,3,7,4,0,7,60,34,90,0,0,0,0,0,0,0,3,9,8,14,28,5,0,5,18,17,34,114,38,155,192,93,284,10,9,15,7,8,14,5,3,12,28,12,43,494,845,1340,1000,1503,2504,107,81,190,11792,11447,23246
SED30044,4,4,12,336,103,443,4,0,7,0,0,0,11,19,32,8652,8342,16991,716,779,1486,232,7,235,157,22,181,85,25,106,79,47,129,292,249,540,10570,9587,20158,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,31,0,33,13,10,24,4,3,5,50,13,60,80,43,119,129,57,186,0,0,0,7,4,12,6,0,8,13,6,17,347,630,980,1244,1390,2633,125,90,214,12430,11755,24191
SED30045,34,69,102,71,50,122,3,0,3,3,0,3,0,5,8,8950,7577,16527,638,811,1448,542,12,553,162,18,182,20,6,27,91,50,139,279,210,488,10792,8811,19603,3,3,10,0,0,0,0,0,0,65,78,142,8,16,25,3,0,3,78,100,182,0,0,0,0,0,0,13,23,37,4,9,11,0,0,0,22,25,49,91,39,133,195,166,359,9,12,21,12,5,13,3,0,3,23,22,44,591,775,1363,1020,1494,2516,140,122,262,12762,11395,24150
SED30046,38,54,88,191,295,485,0,0,0,0,0,0,9,6,18,9056,7411,16461,589,621,1213,585,21,609,176,8,182,31,8,41,85,50,137,127,115,239,10882,8588,19468,18,13,34,0,0,0,0,0,0,62,54,116,6,10,15,0,0,3,79,82,165,6,0,6,0,0,0,53,112,163,22,44,66,3,8,12,82,161,243,105,38,139,269,280,550,10,20,28,4,11,12,6,0,6,18,25,48,362,623,989,894,1175,2070,120,87,208,12548,10786,23340
SED30047,742,968,1707,126,142,271,12,10,19,3,0,3,23,16,33,8075,7023,15098,512,673,1185,181,6,189,220,14,238,160,57,212,123,45,164,210,218,429,10383,9165,19543,56,97,157,0,0,0,0,0,0,96,127,226,40,38,78,25,11,39,223,271,491,0,0,0,0,0,0,10,15,33,7,18,21,3,0,3,20,35,57,111,81,191,351,389,737,40,46,85,8,3,12,11,3,18,59,49,111,442,689,1129,866,1428,2291,86,75,159,12178,11801,23983
SED30048,3,0,3,292,78,369,0,0,0,0,0,0,31,29,61,7232,6313,13547,650,636,1282,125,10,134,155,14,173,206,76,286,62,37,98,273,302,581,9031,7498,16533,0,3,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,4,6,0,0,0,0,0,0,21,0,22,4,4,13,3,4,8,32,11,45,91,46,133,126,63,187,0,0,0,3,4,10,3,0,7,13,3,16,169,368,537,884,1015,1895,115,82,195,10339,9028,19367
SED30049,28,34,57,1108,1294,2405,4,3,6,3,0,3,23,6,33,7535,6016,13548,392,760,1153,131,8,137,197,11,210,120,22,136,70,33,103,233,217,447,9840,8403,18251,40,30,72,0,0,0,0,0,0,16,16,34,0,0,0,0,0,0,58,48,106,3,4,9,0,0,0,110,145,252,33,86,123,20,8,33,164,250,413,86,51,138,306,349,656,13,15,32,12,6,20,5,3,10,33,28,61,430,560,991,831,1335,2170,69,71,141,11509,10751,22259
SED30050,22,18,43,220,238,456,7,0,7,0,0,0,15,5,19,8582,8061,16635,452,600,1056,176,7,180,172,11,183,200,114,316,132,75,208,445,514,958,10418,9644,20062,0,3,4,0,0,0,0,0,0,31,20,45,0,0,0,0,0,0,33,20,58,0,0,0,0,0,0,4,3,11,11,8,18,13,3,14,30,18,46,102,49,155,160,93,256,8,6,14,20,13,26,13,0,10,33,17,53,682,1011,1686,955,1417,2365,110,102,209,12358,12268,24630
SED30051,4,3,7,119,23,136,5,0,4,0,0,0,16,12,28,5440,5300,10745,385,462,853,240,12,249,150,21,168,134,40,179,79,36,108,253,254,507,6824,6152,12978,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,6,7,10,3,0,9,4,0,3,15,8,22,86,28,109,98,34,133,0,0,0,4,4,8,0,0,0,7,4,9,368,508,881,772,1060,1832,104,98,199,8181,7856,16038
SED30052,135,85,217,178,213,387,0,0,0,81,82,161,22,14,35,9299,8478,17777,485,681,1169,144,10,150,166,27,195,229,107,336,129,61,194,356,366,723,11219,10119,21341,13,27,49,0,0,0,0,4,3,45,28,70,3,9,12,7,0,9,74,66,141,0,0,0,29,56,83,11,4,16,7,17,25,3,0,0,52,78,134,127,80,205,255,224,481,27,12,39,10,10,26,3,3,5,38,32,67,751,987,1739,920,1503,2419,122,98,221,13307,12957,26268
SED30053,3,0,4,530,101,629,0,0,4,3,0,0,7,3,12,8525,6816,15332,679,482,1164,293,11,310,128,15,144,78,30,111,156,54,216,517,377,896,10929,7890,18818,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,7,5,7,0,0,0,0,0,0,74,4,79,11,3,14,5,0,5,93,12,101,107,34,140,199,48,251,0,0,0,8,0,9,11,0,8,18,4,21,763,840,1608,1475,1384,2859,176,146,326,13562,10319,23876
SED30054,106,114,226,636,593,1226,8,4,12,0,0,0,24,10,26,7520,6727,14249,317,666,980,114,0,114,227,24,248,332,58,385,82,33,112,179,138,314,9536,8360,17896,90,41,131,0,0,0,0,0,0,201,148,347,23,30,55,3,0,3,320,222,544,0,0,3,0,0,0,87,99,183,20,47,67,9,4,20,120,148,269,144,85,231,588,457,1044,36,31,68,10,9,25,5,3,12,54,45,104,826,1046,1871,834,1482,2315,74,58,131,11915,11447,23357
SED30055,462,535,1003,89,45,132,4,0,4,3,0,6,13,5,17,8828,7762,16599,713,741,1452,374,6,384,219,26,243,48,15,61,118,32,147,143,147,292,11016,9324,20337,56,58,110,0,0,0,0,0,0,144,158,309,45,41,86,44,3,46,284,265,553,0,0,0,0,0,0,5,3,11,5,8,14,4,3,5,12,14,30,115,43,162,411,321,738,57,49,106,0,0,5,9,3,7,64,53,116,344,611,959,1061,1491,2555,119,94,219,13022,11899,24924
SED30056,634,606,1238,1195,1464,2655,30,43,71,9,3,13,67,46,113,6259,5624,11887,407,748,1157,43,0,43,312,36,349,787,307,1093,109,57,164,1014,988,2008,10870,9909,20777,149,172,318,4,5,14,0,0,0,24,22,51,15,16,32,12,9,22,209,230,438,12,5,18,0,0,0,42,42,84,25,51,79,24,29,53,107,124,231,115,74,190,429,425,855,50,33,81,16,14,30,12,4,17,74,53,125,637,825,1465,947,1593,2540,65,54,121,13011,12867,25879
SED30057,5,0,3,142,35,174,0,3,3,0,0,0,33,48,82,4977,3967,8947,535,532,1070,139,13,151,178,24,202,141,56,197,165,85,248,899,874,1766,7212,5630,12843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,6,0,0,0,3,0,3,10,3,9,64,37,104,76,42,117,0,0,0,0,0,0,13,4,16,19,4,23,467,501,968,573,547,1127,133,104,236,8476,6830,15307
SED30058,733,821,1553,239,329,565,3,0,5,3,3,3,20,15,39,7790,6587,14370,346,647,994,96,3,99,190,26,218,261,35,296,92,45,134,153,160,315,9927,8669,18592,149,155,300,0,0,0,0,0,0,222,196,420,41,55,94,32,10,35,442,412,849,0,0,0,0,0,0,23,35,55,8,39,47,4,3,6,33,75,111,100,75,170,577,557,1130,47,60,107,4,3,10,9,0,8,60,67,128,533,685,1219,814,1408,2216,71,53,121,11974,11435,23407
SED30059,149,91,238,102,90,195,8,0,8,4,9,7,13,7,17,9885,9252,19141,603,748,1355,233,3,234,177,16,192,90,29,116,122,57,182,201,175,374,11579,10487,22063,14,11,22,0,0,0,0,0,0,73,32,100,5,8,11,13,0,13,102,49,150,0,0,0,8,11,20,3,7,16,10,20,29,0,0,0,19,36,60,107,59,167,234,141,379,33,13,45,12,6,13,10,0,10,50,25,71,791,1137,1933,934,1474,2407,102,95,197,13688,13351,27040
SED30060,0,3,6,194,138,333,6,8,14,3,0,3,17,20,40,7973,7459,15431,699,805,1505,242,7,245,143,20,162,126,37,158,171,55,224,317,269,584,9905,8810,18713,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,0,3,3,10,3,0,3,0,0,0,6,4,8,5,18,23,7,0,7,21,25,43,103,54,159,128,76,212,0,0,0,6,7,8,9,0,9,18,7,22,316,467,780,823,1155,1980,160,130,292,11349,10644,21993
SED30061,7,0,7,154,105,256,3,0,5,0,0,0,22,24,45,7103,6919,14025,518,767,1289,90,0,90,236,26,265,324,118,442,115,36,151,246,223,468,8814,8219,17041,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,8,3,16,12,17,28,13,3,13,34,22,58,92,51,143,125,76,206,0,0,0,4,3,9,7,3,11,13,3,15,201,341,544,879,1188,2065,83,64,145,10110,9904,20015
SED30062,343,388,732,192,158,345,4,0,4,0,0,0,26,19,49,11766,10165,21928,854,1002,1855,360,6,368,316,20,340,75,16,95,140,67,203,227,229,455,14303,12069,26371,103,74,177,0,0,0,0,0,0,300,294,592,42,58,94,13,0,13,455,423,880,3,0,3,0,0,0,13,18,28,9,25,33,3,0,3,22,43,70,134,71,201,616,539,1150,71,53,122,6,6,11,3,3,4,77,65,143,464,785,1247,1215,1944,3161,154,124,280,16823,15523,32344
SED30063,4,11,10,110,26,138,0,0,0,0,0,0,10,7,14,6445,5710,12153,449,524,967,311,12,328,124,23,143,77,18,87,102,50,154,486,389,882,8120,6757,14876,0,0,0,0,0,0,0,0,0,15,21,31,0,0,3,0,0,0,16,24,38,0,0,0,0,0,0,3,3,8,3,4,4,3,3,4,11,12,20,58,26,82,85,56,138,3,3,3,0,0,0,6,0,6,8,7,13,961,892,1850,937,1146,2087,152,121,273,10267,8979,19243
